food_name,unit
拌生菜,盘
白灼生菜,盘
混合生菜,盘
煮生菜,盘
罗马生菜,盘
红薯,个
蒸红薯,个
水煮红薯,个
煮红薯,个
红薯,g
蒸红薯,g
水煮红薯,g
煮红薯,g
红薯,根
蒸红薯,根
水煮红薯,根
煮红薯,根
红薯,块
蒸红薯,块
水煮红薯,块
煮红薯,块
青菜,小盘
煮青菜,小盘
水煮青菜（无油）,小盘
水煮青菜,小盘
水煮青菜（不加油）,小盘
青菜,g
煮青菜,g
水煮青菜（无油）,g
水煮青菜,g
水煮青菜（不加油）,g
青菜,份
煮青菜,份
水煮青菜（无油）,份
水煮青菜,份
水煮青菜（不加油）,份
青菜,小份
煮青菜,小份
水煮青菜（无油）,小份
水煮青菜,小份
水煮青菜（不加油）,小份
青菜,盘
煮青菜,盘
水煮青菜（无油）,盘
水煮青菜,盘
水煮青菜（不加油）,盘
青菜,小碗
煮青菜,小碗
水煮青菜（无油）,小碗
水煮青菜,小碗
水煮青菜（不加油）,小碗
青菜,碗
煮青菜,碗
水煮青菜（无油）,碗
水煮青菜,碗
水煮青菜（不加油）,碗
青菜,片
煮青菜,片
水煮青菜（无油）,片
水煮青菜,片
水煮青菜（不加油）,片
青菜,大碗
煮青菜,大碗
水煮青菜（无油）,大碗
水煮青菜,大碗
水煮青菜（不加油）,大碗
青菜,把
煮青菜,把
水煮青菜（无油）,把
水煮青菜,把
水煮青菜（不加油）,把
青菜,颗
煮青菜,颗
水煮青菜（无油）,颗
水煮青菜,颗
水煮青菜（不加油）,颗
酸奶,杯
希腊酸奶,杯
简醇酸奶,杯
原味酸奶,杯
酸奶,g
希腊酸奶,g
简醇酸奶,g
原味酸奶,g
酸奶,瓶
希腊酸奶,瓶
简醇酸奶,瓶
原味酸奶,瓶
酸奶,小袋
希腊酸奶,小袋
简醇酸奶,小袋
原味酸奶,小袋
酸奶,袋
希腊酸奶,袋
简醇酸奶,袋
原味酸奶,袋
酸奶,盒
希腊酸奶,盒
简醇酸奶,盒
原味酸奶,盒
酸奶,勺
希腊酸奶,勺
简醇酸奶,勺
原味酸奶,勺
酸奶,ml
希腊酸奶,ml
简醇酸奶,ml
原味酸奶,ml
酸奶,份
希腊酸奶,份
简醇酸奶,份
原味酸奶,份
酸奶,碗
希腊酸奶,碗
简醇酸奶,碗
原味酸奶,碗
酸奶,包
希腊酸奶,包
简醇酸奶,包
原味酸奶,包
酸奶,个
希腊酸奶,个
简醇酸奶,个
原味酸奶,个
西兰花,g
水煮西兰花（不加油）,g
水煮西兰花,g
白灼西兰花,g
西蓝花,g
水煮西蓝花,g
西兰花,小盘
水煮西兰花（不加油）,小盘
水煮西兰花,小盘
白灼西兰花,小盘
西蓝花,小盘
水煮西蓝花,小盘
西兰花,份
水煮西兰花（不加油）,份
水煮西兰花,份
白灼西兰花,份
西蓝花,份
水煮西蓝花,份
西兰花,小份
水煮西兰花（不加油）,小份
水煮西兰花,小份
白灼西兰花,小份
西蓝花,小份
水煮西蓝花,小份
西兰花,个
水煮西兰花（不加油）,个
水煮西兰花,个
白灼西兰花,个
西蓝花,个
水煮西蓝花,个
西兰花,串
水煮西兰花（不加油）,串
水煮西兰花,串
白灼西兰花,串
西蓝花,串
水煮西蓝花,串
西兰花,口
水煮西兰花（不加油）,口
水煮西兰花,口
白灼西兰花,口
西蓝花,口
水煮西蓝花,口
西兰花,盘
水煮西兰花（不加油）,盘
水煮西兰花,盘
白灼西兰花,盘
西蓝花,盘
